Wall time,Step,Value
1533767851.4735212,1,43.10755157470703
1533767964.8197732,101,8.505425453186035
1533768027.891137,201,8.452714920043945
1533768087.816523,301,7.574617862701416
1533768146.1353679,401,8.051843643188477
1533768204.7673755,501,7.6124749183654785
1533768270.8601289,601,8.745466232299805
1533768330.9069378,701,8.252230644226074
1533768390.8630865,801,7.279018402099609
1533768452.2119505,901,7.489056587219238
1533768510.8127656,1001,6.887285232543945
1533768571.0500562,1101,6.800198078155518
1533768638.6756718,1201,6.7847394943237305
1533768698.331069,1301,7.340588569641113
1533768757.6176379,1401,6.978119850158691
1533768818.1798766,1501,6.256557464599609
1533768878.365263,1601,7.214008331298828
1533768937.6096258,1701,5.9347333908081055
1533769003.9542167,1801,6.521014213562012
1533769064.1225705,1901,6.80372428894043
1533769123.2542608,2001,6.974006652832031
1533769182.2955594,2101,6.153543472290039
1533769241.4993052,2201,5.442541122436523
1533769299.8788497,2301,6.874866008758545
1533769364.2867725,2401,6.482752799987793
1533769424.2077682,2501,7.118075370788574
1533769483.1895647,2601,6.310857772827148
1533769542.1835759,2701,6.683791160583496
1533769602.3433406,2801,4.9630303382873535
1533769661.1037135,2901,5.018117904663086
1533769726.2085288,3001,5.681084632873535
1533769783.4440327,3101,4.898831367492676
1533769840.706454,3201,5.056000232696533
1533769898.2684646,3301,5.641026020050049
1533769956.462895,3401,5.855268478393555
1533770016.2140522,3501,6.63189697265625
1533770083.0138326,3601,6.259132385253906
1533770143.2440321,3701,4.9195780754089355
1533770201.9534147,3801,5.314661502838135
1533770262.3629475,3901,4.440993785858154
1533770322.5484495,4001,6.007687568664551
1533770382.6595674,4101,5.963457107543945
1533770450.1373146,4201,4.402519226074219
1533770510.0385978,4301,4.696847915649414
1533770569.8699484,4401,4.067605972290039
1533770631.3230164,4501,4.984126091003418
1533770691.4448469,4601,3.814812183380127
1533770752.409601,4701,4.864160060882568
1533770821.1413085,4801,4.139640808105469
1533770881.4548607,4901,3.823483943939209
1533770941.2625787,5001,3.0548791885375977
1533771002.8081043,5101,4.17890739440918
1533771062.741146,5201,3.4598708152770996
1533771123.2471552,5301,4.6842193603515625
1533771191.2179089,5401,3.1958727836608887
1533771252.663376,5501,4.3077287673950195
1533771313.2185693,5601,3.2791311740875244
1533771372.2264194,5701,3.1276652812957764
1533771432.2033656,5801,3.3119897842407227
1533771491.5340908,5901,2.9459166526794434
1533771556.0670648,6001,2.9640893936157227
